Id,Label,isDisclaimer,Amount Spent
0,Michael Bennet,0,1279647
1,DSCC,1,0
2,Stephanie Bice Nos Ha Fallado,0,5548
3,Heartland Priorities,0,83000
4,Beto O'Rourke,0,10554718
5,Arizona - Register to Vote,0,20308
6,Biden for WI,0,14179
7,Independence USA. Not authorized by any candidate or candidate's committee.,1,0
8,Gillibrand 2020 Exploratory Committee,1,0
9,Chip Roy: In the Pocket of Special Interests,0,10006
10,Mayor Wayne Messam,1,12104
11,Washington Changed Katko,0,96216
12,Cory for South Carolina,0,1674
13,Louisiana for Mike,0,3375
14,INSLEE FOR AMERICA,1,0
15,AR for Mike,0,7009
16,Nick Freitas Puts Special Interests First,0,52284
17,We are mitú,0,59576
18,Don Young: Can’t Deliver for Alaska Anymore,0,9086
19,Amy Klobuchar,0,2836960
20,Warnock for Georgia,1,0
21,Texans for Tom Steyer 2020,0,4453
22,BENNET FOR AMERICA,1,0
23,Protect Kids: Fight Flavored E-Cigarettes,0,990064
24,Rauner Failed Me,0,886458
25,JB for Governor,1,0
26,Cory Booker,0,2904735
27,DNC War Room,0,64521
28,SARA GIDEON FOR MAINE,1,0
29,Val Demings for Congress,1,0
30,Illinois Daily,0,2140233
31,Nevada For Tom,0,11299
32,WIRED,0,103476
33,Political Advertisement Paid for & Approved by Wayne M. Messam for Mayor of Miramar,1,0
34,Beyond Carbon,0,722208
35,Tim Ryan,0,607366
36,IGN,0,26702
37,Herrera Beutler for Special Interests,0,13000
38,Wayne  Messam for America,1,0
39,Sara Gideon,0,4827798
40,Blue Wave Illinois,0,453600
41,THE SQUAD VICTORY FUND,1,0
42,"When Jeff Van Drew Wins, South Jersey Loses",0,28381
43,Joe Sestak for President,1,0
44,the Democratic National Committee,1,0
45,N.C. for Mike,0,98564
46,Senate Democrats,0,14574467
47,Texas Voter Registration Deadline,0,4390
48,KY for Mike,0,1331
49,KAMALA HARRIS FOR THE PEOPLE,1,0
50,Corrupt Thom Tillis,0,345601
51,Yvette Herrell Es Corrupta,0,9882
52,Patti Harris,0,39733
53,Julián for the Future | Presidential Exploratory Committee,1,0
54,Glamour,0,107143
55,Powered By People,1,0
56,Barack Obama,0,1160159
57,Kamala Harris for Senate,1,0
58,Hickenlooper 2020,1,0
59,Yvette Herrell: Out for Herself,0,89411
60,Iowans can’t trust Ashley Hinson,0,25736
61,Joe Sestak,0,641
62,Gillibrand for Senate,1,0
63,the Committee to Elect Ayanna Pressley,1,0
64,Pennsylvania - Register to Vote by October 19,0,28889
65,the DSCC,1,0
66,Jaime Harrison for U.S. Senate exploratory committee,1,0
67,"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",1,0
68,NEW YORKERS FOR A FAIR FUTURE,1,0
69,TOM STEYER 2020,1,0
70,Joe Biden,0,102166073
71,FRIENDS OF ANDREW YANG,1,0
72,Independence USA,0,1835261
73,"North Carolina: To Be Safe, Vote Early",0,257930
74,Multi-Millionaire Mike Garcia,0,93853
75,Dirty Money Richard Hudson,0,76142
76,"Paid For By Swalwell For Congress - P.O. Box 2847 Dublin, CA 94568",1,0
77,Amy McGrath,0,6029876
78,ME for Mike,0,16329
79,Klobuchar for Minnesota,1,0
80,McCormick es nocivo para la salud,0,5547
81,Teen Vogue,0,106782
82,Friends of John Delaney,1,0
83,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,1,0
84,Biden Harris for WI,0,13713
85,Steve Daines Follows The Money,0,254515
86,Farm Watch WI,0,180
87,FRIENDS OF JOHN DELANEY,1,0
88,PETERS FOR MICHIGAN,1,0
89,Florida - Register to Vote by October 5,0,82255
90,SCHIFF FOR CONGRESS,1,0
91,David Schweikert: Betraying Our Trust,0,9559
92,Out-of-Touch Alek Skarlatos,0,12000
93,Vote for Joe Biden 2020,0,299367
94,RASHIDA TLAIB FOR CONGRESS,1,0
95,Lauren Boebert: Too Reckless for Colorado,0,6500
96,Wisconsin Votes 2020,0,52856
97,Allure,0,90064
98,JULIAN FOR THE FUTURE,1,0
99,Jaime Harrison,0,11095168
100,Voto Latino,0,5195481
101,"the Democratic National Committee, 1.877.336.7200. Not authorized by any candidate or candidate’s committee.",1,0
102,Kirsten Gillibrand,0,4363980
103,Bloomberg Philanthropies,1,632329
104,African American Priorities 2020,0,78821
105,East Coast Priorities,0,87372
106,Georgia Deserves Better,0,39186
107,Nancy Mace Harms,0,11392
108,Montana Speaks Out,0,185138
109,South Carolina for Tom 2020,0,31430
110,Seth Moulton for Congress,1,0
111,Biden Harris for Wisconsin,0,14179
112,Biden For President,0,301687
113,Complex,0,238277
114,Friends of Bernie Sanders,1,0
115,Mike Bloomberg 2020 Inc,1,0
116,"Tim Ryan for America, Inc",1,0
117,Vote for Joe Biden,0,302156
118,TIM RYAN FOR CONGRESS,1,0
119,California for Mike,0,128793
120,Off The Sidelines,0,2786
121,Tulsi Now,1,0
122,AAPI Vote 2020,0,140472
123,Wayne for America,1,0
124,Cory 2020,1,0
125,Amy McGrath for Congress,1,0
126,PAC TO THE FUTURE,1,0
127,Elizabeth Warren,0,9793453
128,No dejes tu salud en manos de Tony Gonzales,0,7244
129,WA for Mike,0,2552
130,Colorado for Mike Bloomberg,0,101624
131,Seth Moulton for America,1,0
132,Biden for Wisconsin,0,14179
133,Nancy Pelosi,0,2329820
134,Seminole County for Deb Poulalion,0,12308
135,Humanity Forward,1,506396
136,Beat Trump Fund,0,3834
137,MO for Mike,0,4384
138,de Blasio 2020,1,0
139,"Yang for New York, Inc.",1,0
140,Julián for the Future,1,0
141,Val Demings for U.S. Senate,1,0
142,the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,1,0
143,Eric Swalwell,0,179452
144,Pete for America,1,0
145,Marianne Williamson for President Campaign Debt Retirement Committee,1,0
146,Bill de Blasio,0,106419
147,Deval for All,1,0
148,Iowa for Warren,0,106
149,Michigan - Register Online to Vote by October 19,0,15941
150,GA for Mike,0,89537
151,North Carolina for Tom 2020,0,2957
152,Tulsi Gabbard,0,1165719
153,Team Mike 2020,0,1318814
154,Claudia Tenney: In the pocket of corporate special interests,0,38064
155,Nicole Malliotakis: Everything Wrong With Politics,0,43368
156,Shady Steve Chabot,0,93482
157,Extreme Karen Handel,0,35115
158,Kamala Harris,0,8808340
159,Ayanna Pressley,0,279629
160,Cory Booker for Senate,1,0
161,David Young already turned his back on Iowa,0,44118
162,NANCY PELOSI FOR CONGRESS,1,0
163,Swampy Jim Hagedorn,0,28392
164,American Possibilities PAC,1,0
165,Julián Castro,0,1835200
166,CORY BOOKER FOR SENATE,1,0
167,MARIANNE WILLIAMSON EXPLORATORY COMMITTEE,1,0
168,Fairness PAC,1,0
169,JON OSSOFF FOR SENATE,1,0
170,Team Biden Harris,0,298648
171,Need to Impeach,1,0
172,Florida Democratic Party,1,1678028
173,Jon Ossoff,1,2775776
174,Joe Biden Works for You,0,300243
175,The Pete for America Exploratory Committee,1,0
176,MARIANNE WILLIAMSON FOR PRESIDENT,1,0
177,Vote From Home New York,0,3252
178,Dan Rodimer: Dangerous and Unfit,0,12753
179,Iowa for Tom Steyer,0,37962
180,HerCampus.com,0,1260
181,CORY 2020,1,0
182,Beto for America,1,0
183,TN for Mike,0,99412
184,National Democratic Training Committee,1,4608286
185,NYS Democratic Senate Campaign Committee (DSCC),0,285349
186,Alexandria Ocasio-Cortez 2018,1,0
187,TX for Mike,0,128710
