Id,Label,isDisclaimer,Amount Spent
0,Steve Daines,0,3053108
1,Trump for Pennsylvania,0,964714
2,Register to Vote Republican,0,5320067
3,GreenFraud for IA,0,50108
4,"McSally for Senate, Inc.",1,202
5,Black Voices for Trump,0,1201730
6,Katrina Pierson,0,104423
7,Deb Fischer,0,153466
8,Martha McSally,0,2206650
9,Wrong Path McGrath,0,783773
10,FRIENDS OF LACY JOHNSON,1,50
11,Ohio for Trump,0,3476
12,Mike Pence,0,15947835
13,Bill Weld,0,32473
14,Steve Daines for Montana,1,13477
15,Lara Trump,0,8018
16,Big Money Mark Kelly,0,479927
17,Too Extreme for Georgia,0,188024
18,Clueless Cal,0,352625
19,Hollywood Jon Ossoff,0,182374
20,"DONALD J. TRUMP FOR PRESIDENT, INC.",1,43539036
21,Ted Cruz for Senate,1,820280
22,Dan Sullivan,0,238204
23,KIM KLACIK FOR CONGRESS,1,105
24,Team Trump,0,16848139
25,Wrong for Us,0,251541
26,Ted Cruz,0,2625019
27,Rocky De La Fuente for Senate 2018,1,50
28,Promises Made Promises Kept,0,105370
29,MCCONNELL SENATE COMMITTEE,1,5185993
30,Hawkeye Republicans,0,140333
31,North Star State Republicans,0,7602
32,JIM JORDAN FOR CONGRESS,1,1555980
33,James Lankford,0,26833
34,Kim Klacik for Congress,1,1174971
35,Trump for Wisconsin,0,298884
36,McConnell Senate Committee,1,262290
37,The California Republican,0,1020
38,DEVIN NUNES CAMPAIGN COMMITTEE,1,1015151
39,SC FYI: Elections,0,13069
40,"Texans for Senator John Cornyn, Inc.",1,141236
41,Weld 2020 Presidential Campaign Committee,1,6211
42,Ben Shapiro,0,4997747
43,Joe Walsh,1,16822
44,Todd Young,0,360675
45,Lindsey Graham,0,7961001
46,Republican Focus Group,0,44580
47,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,1,90061278
48,The Republican Party of Texas - Victory Program,1,100305
49,Candace Owens LLC,1,1089348
50,Kevin McCarthy for Congress,1,542188
51,Brad Parscale,0,808114
52,Lonestar Republicans,0,91728
53,Don Huffines,1,2410
54,NRCC Legal Defense,0,99511
55,Tom Cotton,0,257459
56,Truth About Tester,0,52798
57,The Kansas Informer,0,75985
58,Badger State Republicans,0,19134
59,Hiding Hickenlooper,0,29525
60,"Team Graham, Inc.",1,89261
61,Great Lakes State Republicans,0,556753
62,Don Huffines Campaign,1,1182754
63,Rick Scott,0,634684
64,TED CRUZ FOR SENATE,1,1803209
65,Trump for Ohio,0,622984
66,Jim Jordan for Congress,0,1587779
67,Trump For Georgia,0,452563
68,Don Huffines for Texas Senate,1,31150
69,Mike Lee,0,152490
70,Chuck Grassley,0,197448
71,John Cornyn,0,1762201
72,"WELD 2020 PRESIDENTIAL CAMPAIGN COMMITTEE, INC.",1,6963
73,votecollins2020,1,197
74,the NRCC and not authorized by any candidate or candidate's committee.,1,3305685
75,Silver State Republicans,0,3963
76,Granite State Republicans,0,3712
77,McSally for Senate,1,132644
78,"Roque  ""Rocky""  De La Fuente",0,41724
79,Joe E. Collins III,0,1502443
80,Glenn Youngkin,0,1649208
81,Veterans for Trump,0,47047
82,Trump For Florida,0,1143182
83,Mike Crapo For U.S. Senate,0,101364
84,Team Trump Store,0,510139
85,Cornyn Majority Texas,1,182924
86,Team Huffines,0,485
87,the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,1,357304
88,Dr. Roger Marshall,0,237462
89,Lacy Johnson,0,1506806
90,GOP,0,15510937
91,Walsh for Presdient,1,21601
92,Peach State Republicans,0,146501
93,Michael Knowles,0,601957
94,Trump For North Carolina,0,389756
95,Mitch McConnell,0,4664510
96,the Republican National Committee,1,996207
97,Donald J. Trump,0,113294885
98,Josh Hawley,0,822304
99,the Trump Make America Great Again Committee,1,16689629
100,Buckeye State Republicans,0,178885
101,NRSC,1,16722799
102,REPUBLICAN NATIONAL COMMITTEE,1,22155203
103,Trump for Arizona,0,551937
104,the Devin Nunes Campaign Committee,1,346808
105,WALSH FOR PRESIDENT,1,62506
106,Kimberly Klacik,0,1175126
107,Claire Doesn't Care,0,86564
108,KEVIN MCCARTHY FOR CONGRESS,1,1759387
109,"Donald J. Trump for President, Inc",1,1777
110,Candace Owens,0,3167332
111,John Boozman,0,45489
112,STEVE DAINES FOR MONTANA,1,2956458
113,NRCC IE,0,1028661
114,Too Liberal For Iowa,0,52955
115,Al Gross. Fake Independent,0,50284
116,Sunshine State Republicans,0,381018
117,Evangelicals for Trump,0,653821
118,JOE COLLINS FOR CONGRESS,1,1502246
119,Latinos for Trump,0,372329
120,Trump For Minnesota,0,42199
121,The Old North State Republicans,0,460031
122,Trump For Iowa,0,111393
123,Bill Hagerty,0,344024
124,"Donald J. Trump for President, Inc.",1,6413472
125,Kevin McCarthy,0,2411609
