term,rank difference, democrats frequency, republicans frequency
httpewarren4bef7, 0.0, 0, 0
trump, -1.4560965884797758e-05, 374600, 146815
httpsbitly2yq2jey, -3.057169061448928e-05, 3, 0
httpsbitly31xfdsl, -6.114338122897855e-05, 3, 0
now, -6.842386417138084e-05, 571251, 153123
httpewarrenzz2q, -9.171507184346783e-05, 3, 0
httpewarrenb950a, -0.0001222867624579571, 3, 0
america, -0.00014271014115818615, 67838, 39916
httpsbitly3dru1hp, -0.0001528584530724464, 3, 0
hurry, -0.00015497367499369558, 2917, 2933
httpewarren6d5ce, -0.00018343014368693566, 3, 0
httpewarren731eb, -0.00021400183430142494, 3, 0
httpewarren7oov, -0.0002445735249159142, 3, 0
httpewarren08cc3, -0.0002751452155304035, 3, 0
httpewarren45b4b, -0.0003057169061448928, 3, 0
httpewarren61812, -0.00033628859675938205, 3, 0
httpewarren5f645, -0.00036686028737387133, 3, 0
httpewarrend0c14, -0.0003974319779883606, 3, 0
httpewarren38fb0, -0.0004280036686028499, 3, 0
check, -0.0004398552491054093, 15672, 9956
nothing, -0.0004457493506387529, 10530, 7564
carried, -0.00044900536640515853, 352, 390
httpewarren24790, -0.00045857535921733916, 3, 0
httpsbitly38lsnl4, -0.0004891470498318284, 3, 0
birthday, -0.0004892421159856187, 36788, 22174
will, -0.0004949777739293591, 464691, 87933
httpewarrenjr3l, -0.0005197187404463177, 3, 0
4201, -0.000550290431060807, 3, 0
onto, -0.0005726705880926969, 4100, 3792
httpewarrend6q, -0.0005808621216752963, 3, 0
today, -0.0005939733287152308, 411232, 79833
venezuela, -0.0005996614535820344, 8, 8
httpewarrenw40, -0.0006114338122897855, 3, 0
httpewarrenhdj, -0.0006420055029042748, 3, 0
miles, -0.0006583410369926934, 471, 582
voter, -0.0006668098468571408, 59089, 30937
httpewarren4a74f, -0.0006725771935187641, 3, 0
maintain, -0.0006777503767194382, 2110, 2288
need, -0.0006929688835011027, 400083, 79219
httpewarren18c72, -0.0007031488841332534, 3, 0
httpewarrenf9049, -0.0007337205747477427, 3, 0
update, -0.0007559105994721128, 7808, 6085
httpewarrenc9a, -0.0007642922653622319, 3, 0
nan, -0.0007759537135572813, 258926, 67723
httpsewarrene5f78, -0.0007948639559767212, 3, 0
pennsylvania, -0.0008227579499269153, 13638, 8983
httpewarrenzsf, -0.0008254356465912105, 3, 0
httpewarren8ta, -0.0008560073372056998, 3, 0
httpewarrentdz, -0.000886579027820189, 3, 0
election, -0.0009113516830551473, 153568, 55617
httpewarrenu8c, -0.0009171507184346783, 3, 0
poll, -0.0009274257852206827, 43375, 24023
𝐲𝐨𝐮𝐧�𝐞𝐬𝐭, -0.0009477224090491676, 3, 0
cream, -0.0009655393907004317, 461, 572
fight , -0.0009739448231290247, 254895, 58539
httpewarrentrrn, -0.0009782940996636569, 3, 0
httpewarren3gl4, -0.0010088657902782572, 3, 0
httpewarrencgl, -0.0010394374808927465, 3, 0
please, -0.0010481994113979089, 135207, 54228
httpewarrend731d, -0.0010700091715072357, 3, 0
hid, -0.0010729086891969608, 31, 31
irene, -0.001100580862121725, 3, 0
httpewarrenkx5c, -0.0011311525527362143, 3, 0
httpewarrenf441d, -0.0011617242433507036, 3, 0
seaboard, -0.0011922959339651928, 3, 0
menaces, -0.0012228676245796821, 3, 0
httpewarrena39f5, -0.0012840110058086607, 3, 0
httpewarrenctnj, -0.00131458269642315, 3, 0
news, -0.0013219582455192749, 40248, 22141
comic, -0.0013451543870376392, 3, 0
make, -0.0013480855934453156, 307914, 58347
httpewarrenk8vs, -0.0013757260776521285, 3, 0
assume, -0.0013804080857249268, 139, 142
httpewarrenh0sg, -0.0014062977682666178, 3, 0
theft, -0.00142796492914532, 8, 8
fulfilled, -0.0014306822367069483, 5, 5
httpbitly2oxfq2u, -0.001436869458881107, 3, 0
tx, -0.0014578632345038783, 3442, 3324
httpewarrenf7925, -0.0014674411494955963, 3, 0
tries, -0.0014747612433353707, 667, 820
httpbitly2obpotm, -0.0014980128401100856, 3, 0
contribute, -0.001515536701120489, 73984, 31139
httpewarren8ade8, -0.001528584530724575, 3, 0
youve, -0.001536023457256553, 23166, 13127
httpewarren28694, -0.0015591562213390642, 3, 0
httpewarren18725, -0.0015897279119535535, 3, 0
httpewarren2931a, -0.0016202996025680427, 3, 0
httpbitly2oyyxyr, -0.001650871293182532, 3, 0
httpewarrenz6wa, -0.0016814429837970213, 3, 0
httpewarrenn3np, -0.0017120146744115106, 3, 0
room, -0.0017129019585132854, 1830, 1997
httpewarren6rod, -0.0017425863650259998, 3, 0
𝐡𝐨𝐮𝐬𝐞, -0.0017731580556404891, 3, 0
httpewarren146f1, -0.00180372974625497 84, 3, 0
stand, -0.0018081424002254968, 99274, 36413
