term,rank difference, frequency democrats, frequency republicans
bloomberg, -0.9943136655457047, 46455, 0
pete, -0.9934270865178845, 42467, 0
kamalas, -0.9927850810149801, 39076, 0
joebidencomvictory, -0.9925099357994497, 37253, 0
smalldollar, -0.9911647814124122, 32167, 0
wealthy, -0.9906144909813512, 29951, 0
katie, -0.9887190461632528, 25521, 0
marianne, -0.9882604708040355, 24411, 0
muellers, -0.9881993274228065, 24249, 0
flights, -0.9878324671354326, 23246, 0
ayanna, -0.9877407520635891, 23125, 0
racial, -0.9855395903393458, 19458, 0
peoplepowered, -0.9853561601956589, 19236, 0
rashida, -0.9841027208804647, 17403, 0
buttigieg, -0.9838581473555488, 17044, 0
cory, -0.9836747172118618, 16618, 0
student, -0.98318557016203, 15972, 0
65000, -0.9826964231121981, 15534, 0
sara, -0.9817487007031489, 14370, 0
fossil, -0.9800672577193519, 12989, 0
yang, -0.979700397431978, 12617, 0
130000, -0.9794252522164476, 12389, 0
reproductive, -0.9787221033323142, 11771, 0
deficit, -0.9785081014980128, 11541, 0
loan, -0.9783552430449404, 11466, 0
turnover, -0.9778660959951085, 11036, 0
849119, -0.9777743809232651, 10980, 0
marijuana, -0.9774075206358912, 10778, 0
structural, -0.9771629471109753, 10705, 0
sessions, -0.976276368083155, 10261, 0
hotels, -0.976154081320697, 10227, 0
writing, -0.9759095077957811, 10140, 0
dncs, -0.9757872210333232, 10110, 0
speed, -0.9757566493427087, 10091, 0
environmental, -0.9757260776520942, 10067, 0
michelle, -0.9749923570773463, 9638, 0
void, -0.9748089269336594, 9559, 0
1340, -0.974533781718129, 9472, 0
approx, -0.9743809232650565, 9418, 0
rightwing, -0.9741669214307551, 9345, 0
porter, -0.9738612045246102, 9262, 0
kirsten, -0.9736777743809233, 9112, 0
gideon, -0.9735249159278508, 9071, 0
tulsi, -0.971293182512993, 8089, 0
transformative, -0.9705594619382452, 7869, 0
fundraisers, -0.9703454601039437, 7777, 0
𝐭𝐡𝐞, -0.9694283093855091, 7   589, 0
executives, -0.9681442983797004, 7069, 0
planned, -0.9680831549984714, 7032, 0
tillis, -0.967808009782941, 6961, 0
womans, -0.9674717211861816, 6854, 0
actblue, -0.9671660042800367, 6704, 0
caucuses, -0.9670437175175787, 6681, 0
1617, -0.9669520024457352, 6670, 0
journey, -0.9664934270865179, 6564, 0
elizabeths, -0.9663405686334454, 6534, 0
parenthood, -0.9659125649648426, 6400, 0
demings, -0.9656374197493122, 6351, 0
usps, -0.9652705594619383, 6207, 0
shutdowns, -0.9650871293182512, 6157, 0
rejecting, -0.9648425557933353, 6091, 0
recommended, -0.9647814124121064, 6083, 0
legislating, -0.9645674105778049, 6012, 0
orange, -0.964383980434118, 5933, 0
val, -0.9643534087435035, 5921, 0
threshold, -0.9641699785998166, 5911, 0
figuring, -0.9640171201467441, 5869, 0
allocated, -0.9638948333842862, 5843, 0
ryan, -0.9638336900030572, 5832, 0
thom, -0.9635585447875268, 5790, 0
approach, -0.9634668297156833, 5758, 0
oz, -0.9632222561907674, 5675, 0
fox, -0.9631611128095383, 5667, 0
drink, -0.9631305411189239, 5653, 0
gabbard, -0.9628248242127789, 5561, 0
petes, -0.9623662488535616, 5476, 0
personbyperson, -0.9622745337817181, 5441, 0
contrib, -0.9620299602568022, 5418, 0
prz, -0.9619993885661877, 5416, 0
banks, -0.9618159584225008, 5343, 0
gary, -0.9615713848975849, 5280, 0
prevention, -0.9615102415163559, 5273, 0
beats, -0.9610822378477529, 5232, 0
explain, -0.961021094466524, 5221, 0
klobuchar, -0.960959951085295, 5216, 0
httpsbitly2ul0hho, -0.9605930907979211, 5125, 0
sidelines, -0.9605013757260776, 5119, 0
divided, -0.9601956588199327, 5099, 0
katies, -0.9600733720574748, 5084, 0
subj, -0.9600122286762458, 5084, 0
alexandrias, -0.9599510852950168, 5077, 0
organized, -0.9598593702231734, 5067, 0
1709, -0.9597982268419444, 5055, 0
traveling, -0.9597065117701009, 5011, 0
bernies, -0.9596759400794864, 5009, 0
unique, -0.9596147966982574, 5003, 0
devos, -0.959584225007643, 4997, 0
mobilize, -0.9592479364108836, 4961, 0
scrolling, -0.9592173647202691, 4954, 0
profits, -0.959095077957811, 4920, 0
plenty, -0.9587282176704371, 4879, 0
hickenlooper, -0.9585447875267502, 4839, 0
𝐢𝐧, -0.9580862121675329, 4798, 0
sends, -0.9576276368083155, 4741, 0
fetterman, -0.957597065117701, 4739, 0
2900, -0.9574747783552431, 4718, 0
overcome, -0.9573219199021706, 4703, 0
williamson, -0.9572302048303272, 4664, 0
maternal, -0.9570467746866401, 4637, 0
demonstrate, -0.9570162029960256, 4635, 0
postal, -0.9567716294711097, 4600, 0
marjorie, -0.9567410577804952, 4596, 0
broad, -0.9567104860898807, 4589, 0
incarceration, -0.9566493427086518, 4574, 0
𝐲𝐨𝐮, -0.9566187710180373, 4572, 0
prohibited, -0.9566010887134372, 9591, 3
cal, -0.9565576276368083, 4553, 0
premiums, -0.9563436258025069, 4516, 0
chasten, -0.9563130541118924, 4513, 0
930, -0.955976765515133, 4455, 0
organizers, -0.9559461938245185, 4449, 0
greene, -0.9554876184653012, 4391, 0
ballooned, -0.9553347600122287, 4358, 0
𝐒𝐞𝐧𝐚𝐭𝐞, -0.9553041883216142, 4355, 0
detention, -0.9552430449403853, 4339, 0
peters, -0.9545093243656374, 4187, 0
farright, -0.9544481809844084, 4181, 0
zip, -0.9543258942219505, 4163, 0
gardner, -0.954295322531336, 4160, 0
drama, -0.9541336387703225, 5382, 3
map, -0.9536533170284317, 4056, 0
shark, -0.9535004585753593, 4046, 0
vanity, -0.9531641699785998, 3946, 0
gillibrand, -0.9530724549067563, 3939, 0
700000, -0.9526750229287679, 3907, 0
halls, -0.9525221644756955, 3878, 0
5000, -0.952430449403852, 3871, 0
heal, -0.9523998777132375, 3868, 0
hometown, -0.9523081626413941, 3837, 0
undermining, -0.9522775909507796, 3835, 0
gideons, -0.9522470192601651, 3834, 0
ohios, -0.9521553041883216, 3832, 0
cancellation, -0.9521247324977071, 3830, 0
schedule, -0.9519107306634057, 3803, 0
kemp, -0.9517273005197188, 3777, 0
investment, -0.9515132986854173, 3747, 0
betsy, -0.9513604402323449, 3735, 0
rev, -0.9513298685417304, 3735, 0
mainers, -0.9512381534698868, 3729, 0
crowded, -0.9511770100886578, 3718, 0
lift, -0.950810149801284, 3679, 0
1843, -0.9505961479669826, 3647, 0
burgers, -0.9500764292265362, 3571, 0
medicaid, -0.9500152858453073, 3566, 0
ramps, -0.9499847141546928, 3566, 0
indicator, -0.9497095689391624, 3543, 0
slowing, -0.9496178538673189, 3537, 0
kirstens, -0.9495872821767044, 3533, 0
workingclass, -0.9494038520330175, 3512, 0
hamilton, -0.9493427086517885, 3501, 0
mikes, -0.9492509935799449, 3478, 0
interrupt, -0.9492204218893305, 3477, 0
oneterm, -0.9491898501987159, 3474, 0
chase, -0.949128706817487, 3468, 0
dramatically, -0.9490369917456435, 3466, 0
emissions, -0.949006420055029, 3465, 0
ten, -0.9489758483644145, 3461, 0
though, -0.9487924182207276, 3430, 0
atlanta, -0.9486395597676551, 3412, 0
2000, -0.9485172730051972, 3407, 0
theresa, -0.9483032711708957, 3392, 0
𝐨𝐟, -0.9482726994802813, 3387, 0
detroit, -0.9481809844084378,   3381, 0
250000, -0.9480892693365943, 3373, 0
1681, -0.9478446958116784, 3338, 0
requirement, -0.9477224090492204, 3324, 0
fueled, -0.9471721186181596, 3276, 0
braddock, -0.9470192601650871, 3259, 0
steyer, -0.9469886884744726, 3258, 0
