term,rank difference,democrat frequency, republican frequency
httpewarren4bef7, 0.0, 0, 0
legally, 3.187885022876147e-05, 153, 162
president, 6.987362301627635e-05, 267167, 136087
regulate, 8.536148390025922e-05, 118, 128
americas, 8.550408313091201e-05, 6581, 5434
rick, 9.052674492143753e-05, 77, 82
kept, 9.382237158524209e-05, 2069, 2288
card, 0.000106212660292428, 48222, 29628
florida, 0.0002574629109303832, 14198, 9633
httpswwweventbritecomewichitafallscruztovictorygotvbustourstoptickets51911033298, 0.0002591344908007276, 0, 3
dont, 0.00035664859802378066, 97928, 56063
mailballot, 0.0003887017362010914, 0, 3
republicans, 0.0005429782594005175, 68990, 45727
official, 0.0005939416399973097, 86671, 55659
immigrants, 0.0005978155857631826, 4291, 3961
vote, 0.0006725771935188016, 235711, 252960
fester, 0.0009069707178025466, 0, 3
𝙖 , 0.0009489265803302449, 57, 59
success, 0.0011657883214240515, 8727, 7122
fail, 0.0011724984074438644, 1763, 2041
links, 0.0012808975892728558, 4, 4
allen, 0.0013476736401123457, 25, 25
return, 0.0016579616438173843, 14849, 10811
1435071773455316274daily, 0.0016843741902047293, 0, 3
praising, 0.0017815793324280071, 55, 57
conducting, 0.001796243286646071, 145, 154
curlaug, 0.0018139414356050931, 0, 3
judges, 0.0018579016095412737, 1029, 1351
dailywirecomfacebooktwittermailrob, 0.001943508681005457, 0, 3
unlocking, 0.0019634091958599664, 122, 132
needs, 0.00207008134256225, 39448, 30236
lionized, 0.0020730759264058207, 0, 3
computer, 0.002149707168518755, 118, 129
register, 0.002209765211158961, 20767, 16927
cornerstone, 0.002382334046778456, 97, 110
us\xa0teachersby, 0.002461777662606912, 0, 3
ᵂᴱ, 0.002591344908007276, 0, 3
november, 0.002691758532920102, 73099, 96424
left, 0.0027687858840070925, 19464, 16281
700pm, 0.0028196858871680774, 27, 28
miscarriage, 0.0028504793988080035, 0, 3
property, 0.002943097599112182, 373, 440
2011, 0.0029761885428014334, 258, 288
republican, 0.002977083749082711, 56266, 58551
nevada, 0.003052534586453118, 9294, 7747
offer, 0.0034017759466628203, 5193, 5034
reversed, 0.0034955666295302112, 16, 16
failure, 0.0037131334445977063, 3046, 3393
wauconda, 0.00375745011661055, 0, 3
llega, 0.0038716800225370163, 6, 6
1923, 0.003887017362010914, 0, 3
feast, 0.004016584607411278, 0, 3
acabar, 0.004031383238680464, 8, 8
antichristian, 0.0041461518528116414, 0, 3
suffer, 0.004186927310596736, 699, 932
rallies, 0.004248450956440775, 1235, 1622
digit, 0.004372734108127774, 50, 53
agendashe, 0.004405286343612369, 0, 3
concealing, 0.004428514173848597, 30, 31
hands, 0.004640812739561757, 8768, 7994
httpswwweventbritecomeblackwhiteuncomfortableconversationswithjoewalshmazejacksonbolingbrooktickets48822850460affebapi, 0.004664420834413097, 0, 3
silenced, 0.0046946360269509435, 450, 591
lee, 0.0046968383928464585, 237, 269
movies, 0.004706749039376346, 33, 34
nafta, 0.004736330457555782, 273, 314
hillary, 0.004782857417643602, 1568, 2024
brainer, 0.004876283680254834, 46, 48
noholds, 0.004923555325213824, 0, 3
90304, 0.005053122570614188, 0, 3
breakfast, 0.005059919800608242, 400, 517
majority, 0.005175314266918349, 33693, 44077
selected, 0.005212881242013946, 6792, 6632
demonstrated, 0.005333963833190902, 583, 809
double, 0.005511064155473089, 3077, 3561
tonight, 0.005563984314401517, 25967, 28577
brownjun, 0.005571391552215643, 0, 3
únete, 0.005689344882497838, 177, 196
pm, 0.005760462287692522, 17448, 19099
httpstwittercomcbpstatus1422579518427045891, 0.005830526043016371, 0, 3
estadounidenses, 0.00586744339939449, 91, 106
httpssecurewinredcomdonhuffinescampaignborder_poll_fr_p, 0.006089660533817098, 0, 3
39, 0.0061584567404240065, 1198, 1647
13187955196274young, 0.006219227779217462, 0, 3
theory\xa0blmby, 0.006348795024617826, 0, 3
content, 0.006375952255876255, 392, 510
omicron, 0.00641083361212802, 6, 6
wisconsin, 0.0064210928345550256, 4750, 5002
carrgetty, 0.00647836227001819, 0, 3
sueño, 0.00652412870087582, 43, 45
endofmonth, 0.00663969745513452, 10924, 10948
find, 0.006711179280585296, 29292, 44533
candacedr, 0.006737496760818917, 0, 3
place, 0.006743169041326762, 21720, 25955
contest, 0.006774746848735247, 3397, 3900
unpardonable, 0.006867064006219281, 0, 3
police, 0.00699751061354191, 3635, 4248
90260, 0.007126198497020009, 0, 3
passports, 0.007206885895026882, 42, 45
exploited, 0.007215212105660618, 74, 84
httpactiontedcruzorgelchapo, 0.0072557657424202615, 0, 3
airwaves, 0.007296953153538413, 1314, 1774
coney, 0.007631601859145382, 945, 1384
httpstexasscorecardcomstategrassrootsleaderjuliemccartyendorseshuffinesforgovernor, 0.007644467478621353, 0, 3
lou, 0.007774850708508252, 23, 23
ᵞᴼᵁ, 0.008033169214822444, 0, 3
httpsomnyfmshowsthecharliekirkshowiwouldntaskthefederalgovernmentforpermissio, 0.008162736460222808, 0, 3
illegally, 0.008256107267577723, 203, 231
httpsdonhuffinescomendorse, 0.008292303705623172, 0, 3
ᶠᴿᴼᴹ, 0.008421870951023536, 0, 3
immediately, 0.008618095414571217, 8983, 9741
alert, 0.00869669927937479, 8621, 9427
ducking, 0.00894013993262499, 0, 3
wants, 0.009011304870896599, 19282, 28383
graham, 0.009162523432816632, 7597, 8411
peak, 0.009237372184546566, 17, 17
headquarters, 0.009302104313080095, 382, 517
𝙉𝙊𝙒, 0.009383306652753165, 42, 45
cakes, 0.009458408914226446, 0, 3
httpswwwyoutubecomchannelucjdilavfzmb82s9krbwzmrg, 0.00958797615962681, 0, 3
rewarded, 0.009602513358973164, 65, 74
great, 0.009846888829402123, 13847, 20681
ᴴᴱᴬᴿ, 0.009847110650427537, 0, 3
pelosi, 0.01003715581398057, 2865, 3763
indiana, 0.010071379629335478, 753, 1126
disagrees, 0.01007233821305259, 53, 58
httpsdonhuffinescomissues, 0.010106245141228265, 0, 3
roslan, 0.010235812386628629, 0, 3
undoing, 0.010351262308195108, 39, 42
polling, 0.01045983577797268, 19135, 33760
voddie, 0.010494946877429356, 0, 3
category, 0.01062451412282972, 0, 3
nhưng, 0.010658912226133244, 6, 6
shattered, 0.010844227848536447, 62, 69
cover, 0.010904983042970932, 4604, 5588
simultaneously, 0.011013168325953948, 167, 195
prepared, 0.011018539563641606, 4647, 5673
extended, 0.011030795175297634, 796, 1210
proceso, 0.011193184010284907, 49, 54
silent, 0.011230331109868028, 903, 1397
material, 0.01127235034983154, 0, 3
1159, 0.011277927564185695, 11899, 20072
commit, 0.011406140116894928, 22824, 76540
mandate, 0.01152284174281927, 777, 1180
endless, 0.011641096115921762, 1317, 1983
eliminated, 0.011855597047530475, 381, 539
media, 0.011917001860682296, 10409, 16497
interviewmy, 0.011920186576833358, 0, 3
remember, 0.01236649840221523, 3212, 4373
remake, 0.012434027060105324, 7, 8
jim, 0.01243586500574477, 1091, 1680
district, 0.01253436146322338, 18269, 46411
httpswwwdailywirecomnewsfaucileaningstronglytowardsuggestingavaccinemandateforallusteachers, 0.012568022803835177, 0, 3
didnt, 0.012585229777666409, 10790, 19576
tibbetts, 0.012697590049235541, 0, 3
collusion, 0.012722513225880583, 870, 1376
cease, 0.013090332096971524, 4, 4
votarla, 0.013215859030836996, 0, 3
charged, 0.013297821899740242, 245, 300
entertainment, 0.013463435061775997, 70, 80
ᴺᴱᴱᴰ, 0.013474993521637724, 0, 3
appreciated, 0.013669284973392176, 300, 389
transmitter, 0.013734128012438451, 0, 3
location, 0.013768732092408422, 8045, 11790
unlocked, 0.01381809519275018, 51, 57
accountability, 0.013828267271202902, 4788, 6571
courtesy, 0.013863695257838815, 0, 3
upholding, 0.013908027774210602, 297, 384
ᵀᴼ, 0.013993262503239179, 0, 3
nasa, 0.014003838612845404, 236, 288
spygate, 0.014252396994039906, 0, 3
elections2020, 0.01439833146224656, 5, 5
153080620724274donald, 0.01441428673171996, 8, 9
physicians, 0.014641098730240998, 0, 3
ingenuity, 0.014738779203233132, 72, 86
httpssecurewinredcomdonhuffinescampaigncowboys_tv_adutm_sourcefacebookcomutm_mediumorganicutm_campaigncowboys_tv_ad, 0.014900233221041725, 0, 3
vdhanson, 0.015159367711842453, 0, 3
dailywirecomfacebooktwittermailphoto, 0.01541850220264318, 0, 3
themarathoncontinues, 0.015807203938844272, 0, 3
corinne, 0.015936771184244636, 0, 3
httpswwweventbritecomefairviewcruztovictorygotvbustourstoptickets51911119556, 0.016195905675045363, 0, 3
famous, 0.016680394483342798, 56, 64
cabassa, 0.016843741902047182, 0, 3
genitals, 0.016973309147447546, 0, 3
bulverde, 0.01710287639284791, 0, 3
mustwin, 0.017437358732685787, 452, 728
harass, 0.01748168332687805, 36, 41
aim, 0.017504570503396655, 62, 74
conservative, 0.017735549568324398, 3364, 5225
10501, 0.01775071261984973, 0, 3
𝙮𝙤𝙪, 0.017954447309544652, 63, 75
midterm, 0.01798163622952107, 3909, 6302
amendment, 0.018214294796498616, 2019, 3342
httpsbitly3yecphm, 0.018398548846851548, 0, 3
entry, 0.01888516079924968, 234, 299
kates, 0.018913664801019747, 27, 30
bribed, 0.018916817828453003, 0, 3
requested, 0.019047010926032268, 1984, 3343
vaccine, 0.01906699066268161, 930, 1651
socalled, 0.019082779566385835, 686, 1176
respond, 0.01911004770815705, 6519, 12103
