term,rank difference, frequency democrats, frequency republicans
votegop, 0.9988338947913967, 0, 74077
25000000, 0.9683855921223115, 0, 5690
02, 0.9668307851775071, 0, 5445
800match, 0.9610002591344908, 0, 4555
assembled, 0.9604819901528894, 0, 4538
500match, 0.9595750194350868, 0, 4440
standings, 0.9514122829748639, 0, 3661
825matched, 0.9505053122570614, 0, 3544
03, 0.9461000259134491, 0, 3168
doubleentered, 0.9413060378336356, 0, 2791
platinum, 0.9407877688520342, 0, 2777
06, 0.9388442601710287, 0, 2671
liberals, 0.9378546215103492, 3, 5049
na, 0.9363824825084219, 0, 2485
deceptions, 0.9350868100544183, 0, 2419
08, 0.9306815237108059, 0, 2288
07, 0.9293858512568023, 0, 2200
500matched, 0.926794506348795, 0, 2119
candace, 0.9229074889867841, 0, 1963
leftist, 0.9194091733609744, 0, 1811
farleft, 0.9151334542627624, 0, 1680
handsigned, 0.9077481212749416, 0, 1494
800matched, 0.906452448820938, 0, 1465
donothing, 0.9058046125939363, 0, 1449
radicalleft, 0.9037315366675305, 0, 1414
mobs, 0.8998445193055196, 0, 1332
04, 0.8990671158331174, 0, 1294
huffines, 0.8979010106245141, 0, 1268
outmake, 0.8977714433791137, 0, 1263
rioting, 0.8956983674527079, 0, 1213
mayhem, 0.8938844260171028, 0, 1174
doublematched, 0.8923296190722985, 0, 1140
personalize, 0.8852034205752786, 0, 1001
600match, 0.8850738533298782, 0, 1001
historyand, 0.8826120756672713, 0, 974
lacy, 0.880020730759264, 0, 928
4x, 0.8791137600414616, 0, 915
postimpeachment, 0.8704327545996372, 0, 812
𝗝𝗼𝗲, 0.8697849183726354, 0, 810
𝗕𝗶𝗱𝗲𝗻, 0.8695257838818347, 0, 810
𝗮𝗽𝗽𝗿𝗼𝘃𝗲, 0.8693962166364343, 0, 810
quadruplematch, 0.8677118424462296, 0, 793
lamestream, 0.864990930292822, 0, 758
congratulatory, 0.8631769888572169, 0, 734
prosocialism, 0.8617517491578129, 0, 724
maxing, 0.8613630474216118, 0, 722
melania, 0.86071521119461, 0, 712
entries, 0.859289971495206, 0, 703
82000, 0.8587717025136046, 0, 700
cornyn, 0.8538155949529063, 4, 2379
dishwasher, 0.8511272350349832, 0, 610
vetted, 0.8467219486913709, 0, 579
residency, 0.8462036797097694, 0, 579
freezer, 0.844648872764965, 0, 571
hysteria, 0.8436123348017621, 0, 558
illegals, 0.8423166623477585, 0, 550
biggovernment, 0.8408914226483545, 0, 537
cryin, 0.8405027209121534, 0, 533
filter, 0.832858253433532, 0, 461
triplematched, 0.8309147447525266, 0, 444
brad, 0.8294895050531226, 0, 439
httpggopcmdmaebt, 0.8291008033169215, 0, 437
congrats, 0.8269712501730005, 3, 631
jordans, 0.824306815237108, 0, 408
amnesty, 0.8233998445193055, 0, 404
1155pm, 0.8228815755377041, 0, 399
constitutionalist, 0.8222337393107022, 0, 394
youit, 0.8213267685928998, 0, 389
haley, 0.8183467219486914, 0, 375
sanctuary, 0.8169214822492874, 0, 365
endof, 0.8166934581573058, 3, 733
kag, 0.8143301373412801, 0, 349
blessings, 0.8132935993780772, 0, 347
givng, 0.8073335060896605, 0, 325
engrave, 0.8055195646540554, 0, 317
hunters, 0.8047421611816533, 0, 315
tyrannical, 0.8038351904638508, 0, 312
klacik, 0.8025395180098471, 0, 307
shotgun, 0.8000777403472402, 0, 297
rushmore, 0.7973568281938326, 0, 289
extrema, 0.794635916040425, 0, 282
royce, 0.7942472143042238, 0, 280
ny27, 0.7938585125680229, 0, 279
smsmms, 0.792174138377818, 0, 277
consenting, 0.7920445711324178, 0, 277
autodialed, 0.7916558693962166, 0, 277
obamagate, 0.7904897641876134, 0, 273
apologies, 0.7902306296968127, 0, 273
trumphating, 0.7894532262244105, 0, 272
malone, 0.788546255506608, 0, 270
pints, 0.7859657877510271, 3, 571
500matching, 0.7851775071261985, 0, 260
usfor, 0.7850479398807981, 0, 260
cheatin, 0.7841409691629956, 0, 258
nikki, 0.781808758745789, 0, 253
lefts, 0.7817448822126394, 5, 1932
caravans, 0.7814200570095879, 0, 252
tara, 0.7807722207825861, 0, 252
engraved, 0.7802539518009848, 0, 251
censors, 0.772479917076963, 0, 227
advise, 0.7718320808499611, 0, 225
belated, 0.77144337911376, 0, 224
eiltes, 0.7709251101321586, 0, 223
