Source,Target,Type,Weight
179,35,Undirected,1
8,185,Undirected,1
174,189,Undirected,1
53,22,Undirected,1
182,82,Undirected,1
60,188,Undirected,1
175,230,Undirected,1
57,196,Undirected,1
62,75,Undirected,1
57,50,Undirected,1
164,188,Undirected,1
58,22,Undirected,1
120,75,Undirected,1
88,208,Undirected,1
73,95,Undirected,1
230,230,Undirected,1
170,64,Undirected,1
180,9,Undirected,1
245,19,Undirected,1
24,167,Undirected,1
24,211,Undirected,1
111,202,Undirected,1
48,3,Undirected,1
37,211,Undirected,1
34,34,Undirected,1
232,132,Undirected,1
210,188,Undirected,1
129,75,Undirected,1
130,130,Undirected,1
112,69,Undirected,1
136,150,Undirected,1
247,75,Undirected,1
16,75,Undirected,1
180,42,Undirected,1
227,203,Undirected,1
238,75,Undirected,1
216,184,Undirected,1
232,29,Undirected,1
260,249,Undirected,1
223,69,Undirected,1
113,3,Undirected,1
6,154,Undirected,1
157,75,Undirected,1
251,224,Undirected,1
219,75,Undirected,1
118,19,Undirected,1
259,122,Undirected,1
250,69,Undirected,1
209,167,Undirected,1
260,204,Undirected,1
77,75,Undirected,1
136,82,Undirected,1
236,167,Undirected,1
239,187,Undirected,1
86,78,Undirected,1
257,75,Undirected,1
61,85,Undirected,1
179,179,Undirected,1
212,203,Undirected,1
258,3,Undirected,1
223,82,Undirected,1
68,189,Undirected,1
171,249,Undirected,1
191,3,Undirected,1
10,167,Undirected,1
99,5,Undirected,1
239,45,Undirected,1
38,75,Undirected,1
165,69,Undirected,1
239,107,Undirected,1
155,141,Undirected,1
135,32,Undirected,1
225,75,Undirected,1
36,254,Undirected,1
186,186,Undirected,1
252,75,Undirected,1
89,251,Undirected,1
40,163,Undirected,1
197,75,Undirected,1
36,141,Undirected,1
101,167,Undirected,1
251,125,Undirected,1
216,123,Undirected,1
68,229,Undirected,1
144,168,Undirected,1
20,246,Undirected,1
186,220,Undirected,1
183,69,Undirected,1
136,25,Undirected,1
244,97,Undirected,1
215,167,Undirected,1
194,70,Undirected,1
96,70,Undirected,1
79,79,Undirected,1
201,188,Undirected,1
179,149,Undirected,1
248,82,Undirected,1
147,22,Undirected,1
169,138,Undirected,1
213,75,Undirected,1
103,123,Undirected,1
91,132,Undirected,1
126,211,Undirected,1
144,163,Undirected,1
180,180,Undirected,1
183,82,Undirected,1
72,122,Undirected,1
99,122,Undirected,1
71,123,Undirected,1
138,203,Undirected,1
243,64,Undirected,1
124,132,Undirected,1
2,2,Undirected,1
73,134,Undirected,1
151,185,Undirected,1
230,100,Undirected,1
186,222,Undirected,1
172,22,Undirected,1
209,211,Undirected,1
57,5,Undirected,1
133,69,Undirected,1
73,31,Undirected,1
73,18,Undirected,1
44,75,Undirected,1
253,75,Undirected,1
73,106,Undirected,1
136,119,Undirected,1
260,260,Undirected,1
39,150,Undirected,1
135,186,Undirected,1
83,208,Undirected,1
235,69,Undirected,1
180,105,Undirected,1
21,75,Undirected,1
4,251,Undirected,1
214,75,Undirected,1
151,198,Undirected,1
33,3,Undirected,1
65,167,Undirected,1
52,69,Undirected,1
151,151,Undirected,1
60,211,Undirected,1
57,102,Undirected,1
94,75,Undirected,1
92,92,Undirected,1
12,81,Undirected,1
110,75,Undirected,1
115,69,Undirected,1
165,82,Undirected,1
177,22,Undirected,1
57,139,Undirected,1
24,188,Undirected,1
108,220,Undirected,1
76,167,Undirected,1
173,153,Undirected,1
242,217,Undirected,1
52,82,Undirected,1
11,75,Undirected,1
199,208,Undirected,1
231,190,Undirected,1
63,75,Undirected,1
251,251,Undirected,1
20,20,Undirected,1
239,137,Undirected,1
250,25,Undirected,1
115,82,Undirected,1
216,30,Undirected,1
117,208,Undirected,1
205,69,Undirected,1
166,78,Undirected,1
240,69,Undirected,1
73,46,Undirected,1
158,208,Undirected,1
131,75,Undirected,1
251,54,Undirected,1
12,43,Undirected,1
47,47,Undirected,1
239,66,Undirected,1
61,255,Undirected,1
20,104,Undirected,1
61,13,Undirected,1
239,74,Undirected,1
12,23,Undirected,1
182,69,Undirected,1
79,153,Undirected,1
144,144,Undirected,1
216,202,Undirected,1
145,75,Undirected,1
133,82,Undirected,1
20,178,Undirected,1
26,75,Undirected,1
186,32,Undirected,1
161,184,Undirected,1
245,46,Undirected,1
216,49,Undirected,1
167,167,Undirected,1
114,0,Undirected,1
181,139,Undirected,1
55,82,Undirected,1
179,140,Undirected,1
146,167,Undirected,1
7,132,Undirected,1
36,1,Undirected,1
180,59,Undirected,1
180,195,Undirected,1
162,138,Undirected,1
179,143,Undirected,1
34,27,Undirected,1
235,82,Undirected,1
228,208,Undirected,1
117,116,Undirected,1
61,14,Undirected,1
142,142,Undirected,1
226,122,Undirected,1
241,122,Undirected,1
239,98,Undirected,1
218,190,Undirected,1
221,249,Undirected,1
57,206,Undirected,1
138,138,Undirected,1
136,69,Undirected,1
109,208,Undirected,1
192,122,Undirected,1
57,122,Undirected,1
193,64,Undirected,1
121,49,Undirected,1
256,22,Undirected,1
156,156,Undirected,1
128,75,Undirected,1
3,3,Undirected,1
61,176,Undirected,1
200,208,Undirected,1
250,123,Undirected,1
233,75,Undirected,1
180,87,Undirected,1
144,152,Undirected,1
117,160,Undirected,1
80,22,Undirected,1
237,217,Undirected,1
169,203,Undirected,1
243,148,Undirected,1
136,56,Undirected,1
114,217,Undirected,1
260,41,Undirected,1
93,75,Undirected,1
57,15,Undirected,1
61,17,Undirected,1
67,70,Undirected,1
73,19,Undirected,1
92,159,Undirected,1
260,207,Undirected,1
90,75,Undirected,1
234,251,Undirected,1
144,97,Undirected,1
127,82,Undirected,1
28,75,Undirected,1
84,75,Undirected,1
12,12,Undirected,1
51,69,Undirected,1
