Source,Target,Type,Weight
63,124,Undirected,1
88,65,Undirected,1
7,2,Undirected,1
62,87,Undirected,1
86,61,Undirected,1
97,100,Undirected,1
98,63,Undirected,1
0,65,Undirected,1
63,63,Undirected,1
28,65,Undirected,1
90,63,Undirected,1
21,100,Undirected,1
43,105,Undirected,1
52,65,Undirected,1
100,131,Undirected,1
13,100,Undirected,1
130,65,Undirected,1
97,131,Undirected,1
110,61,Undirected,1
26,19,Undirected,1
88,63,Undirected,1
121,66,Undirected,1
113,50,Undirected,1
22,22,Undirected,1
76,30,Undirected,1
52,63,Undirected,1
36,100,Undirected,1
47,85,Undirected,1
130,63,Undirected,1
63,67,Undirected,1
72,50,Undirected,1
134,46,Undirected,1
103,65,Undirected,1
111,65,Undirected,1
117,65,Undirected,1
99,99,Undirected,1
128,100,Undirected,1
76,76,Undirected,1
3,100,Undirected,1
27,50,Undirected,1
7,7,Undirected,1
132,50,Undirected,1
37,63,Undirected,1
91,68,Undirected,1
84,65,Undirected,1
85,19,Undirected,1
104,81,Undirected,1
33,31,Undirected,1
95,133,Undirected,1
63,35,Undirected,1
45,65,Undirected,1
127,65,Undirected,1
94,85,Undirected,1
54,99,Undirected,1
118,61,Undirected,1
33,33,Undirected,1
111,63,Undirected,1
69,63,Undirected,1
117,63,Undirected,1
18,50,Undirected,1
125,100,Undirected,1
39,105,Undirected,1
120,65,Undirected,1
37,65,Undirected,1
129,35,Undirected,1
12,100,Undirected,1
114,133,Undirected,1
55,73,Undirected,1
84,63,Undirected,1
64,100,Undirected,1
133,133,Undirected,1
59,59,Undirected,1
89,100,Undirected,1
45,63,Undirected,1
127,63,Undirected,1
38,50,Undirected,1
69,65,Undirected,1
91,70,Undirected,1
112,41,Undirected,1
9,65,Undirected,1
116,63,Undirected,1
112,24,Undirected,1
106,100,Undirected,1
34,35,Undirected,1
91,4,Undirected,1
93,65,Undirected,1
11,65,Undirected,1
89,131,Undirected,1
94,19,Undirected,1
14,65,Undirected,1
120,63,Undirected,1
108,65,Undirected,1
101,105,Undirected,1
115,100,Undirected,1
57,105,Undirected,1
56,65,Undirected,1
121,121,Undirected,1
74,63,Undirected,1
78,105,Undirected,1
44,65,Undirected,1
25,50,Undirected,1
116,65,Undirected,1
79,61,Undirected,1
8,124,Undirected,1
9,63,Undirected,1
92,65,Undirected,1
99,71,Undirected,1
16,100,Undirected,1
40,63,Undirected,1
126,50,Undirected,1
11,63,Undirected,1
49,63,Undirected,1
123,65,Undirected,1
17,100,Undirected,1
53,100,Undirected,1
74,65,Undirected,1
32,100,Undirected,1
56,63,Undirected,1
1,65,Undirected,1
80,100,Undirected,1
83,65,Undirected,1
48,65,Undirected,1
44,63,Undirected,1
20,50,Undirected,1
109,105,Undirected,1
99,60,Undirected,1
29,133,Undirected,1
51,105,Undirected,1
23,100,Undirected,1
77,65,Undirected,1
58,100,Undirected,1
82,50,Undirected,1
55,107,Undirected,1
15,63,Undirected,1
92,63,Undirected,1
5,65,Undirected,1
75,65,Undirected,1
55,6,Undirected,1
49,65,Undirected,1
85,85,Undirected,1
102,105,Undirected,1
104,73,Undirected,1
98,65,Undirected,1
123,63,Undirected,1
118,118,Undirected,1
63,65,Undirected,1
90,65,Undirected,1
0,63,Undirected,1
1,63,Undirected,1
83,63,Undirected,1
48,63,Undirected,1
55,10,Undirected,1
122,50,Undirected,1
42,96,Undirected,1
15,65,Undirected,1
55,96,Undirected,1
119,133,Undirected,1
100,100,Undirected,1
5,63,Undirected,1
75,63,Undirected,1
62,62,Undirected,1
